ds,yhat,yhat_lower,yhat_upper,Country
2004-01-01,5798658386.806095,5432035626.043062,6217061614.491218,China
2005-01-01,6113097579.965275,5679595840.495843,6503839394.991117,China
2006-01-01,6463311439.644952,6058566278.955381,6876070257.856291,China
2007-01-01,6813494769.263096,6398134666.55995,7210361867.92516,China
2008-01-01,7163636381.134658,6770300485.098993,7568520620.665188,China
2009-01-01,7478075574.293733,7081406214.451569,7885892743.806368,China
2010-01-01,7828289433.973485,7413194754.732092,8228092451.652505,China
2011-01-01,8178472763.591632,7790004534.075315,8584008460.528476,China
2012-01-01,8528614375.463176,8111892835.860107,8960547796.855347,China
2013-01-01,8843053568.622305,8437673558.6628685,9272047316.293139,China
2014-01-01,9193267428.302061,8765591046.261492,9602649344.723227,China
2015-01-01,9543450757.920103,9131870976.67589,9959204144.445734,China
2016-01-01,9893592369.791693,9525770502.689869,10320275863.41209,China
2017-01-01,10208031562.95077,9797729702.831327,10580547277.340462,China
2018-01-01,10558245422.630516,10135099313.918278,10963902911.857388,China
2019-01-01,10908428752.248678,10519093752.802542,11327721425.243448,China
2020-01-01,11258570364.12022,10822330465.313038,11673034901.822653,China
2021-01-01,11573009557.279306,11151884061.620731,11990853622.819864,China
2022-01-01,11923223416.959106,11534074885.92213,12329525687.091932,China
2023-01-01,12273406746.57723,11861582518.337557,12682282437.137249,China
2023-12-31,12658499224.631895,12262793099.098167,13048140521.314896,China
2024-12-31,12973637150.857416,12573261972.929539,13358144793.025726,China
2025-12-31,13323662124.081936,12923647224.413172,13694110064.086742,China
2026-12-31,13673612396.244837,13253224514.84212,14070204003.783482,China
2027-12-31,14023477218.960373,13629478897.611084,14459963084.919773,China
2028-12-31,14338615145.185932,13941748030.454994,14770383997.20011,China
2029-12-31,14688640118.410536,14249564739.54601,15115345291.953001,China
2030-12-31,15038590390.573336,14603323464.987082,15479641631.96114,China
2031-12-31,15388455213.288996,14943299363.844183,15810026948.076113,China
2032-12-31,15703593139.514551,15220494682.561666,16197281339.497467,China
2033-12-31,16053618112.738987,15592824275.225206,16493336567.660013,China
2034-12-31,16403568384.902021,15897127742.734594,16892014251.757578,China
2035-12-31,16753433207.617481,16235354742.482557,17300790179.822845,China
2036-12-31,17068571133.842974,16523965690.104929,17593148682.498745,China
2037-12-31,17418596107.06742,16888012283.382076,17991906521.99563,China
2038-12-31,17768546379.230453,17199160342.65859,18322896850.86342,China
2039-12-31,18118411201.945915,17529793969.03855,18710997442.615128,China
2040-12-31,18433549128.17147,17808854109.126034,19060000213.935818,China
2041-12-31,18783574101.396057,18161731505.567104,19398615479.26268,China
2042-12-31,19133524373.558903,18424824797.936127,19845614697.760525,China
2043-12-31,19483389196.27456,18760601084.162045,20194986390.359142,China
2044-12-31,19798527122.50014,19063561103.094833,20555611818.750965,China
2045-12-31,20148552095.72454,19392126600.22891,20967599011.181965,China
